Index,MOSI,MISO,CLK,CS,EVENT,PB7,PC2,PC3
0,0,0,0,0,0,0,0,0
5721562,0,1,0,1,0,0,0,0
5721566,0,0,0,1,0,0,0,0
5721570,0,0,0,0,0,0,0,0
5722562,0,1,0,1,1,0,0,0
5722717,0,1,0,1,0,0,0,0
5937502,1,1,0,1,0,0,0,0
5937515,1,1,0,0,0,0,0,0
5937516,1,0,0,0,0,0,0,0
5956327,0,0,0,0,0,0,0,0
5956329,0,0,1,0,0,0,0,0
5956333,0,0,0,0,0,0,0,0
5956334,0,1,0,0,0,0,0,0
5956337,0,1,1,0,0,0,0,0
5956341,0,1,0,0,0,0,0,0
5956345,0,1,1,0,0,0,0,0
5956349,0,1,0,0,0,0,0,0
5956350,0,0,0,0,0,0,0,0
5956353,0,0,1,0,0,0,0,0
5956357,1,0,0,0,0,0,0,0
5956361,1,0,1,0,0,0,0,0
5956365,1,0,0,0,0,0,0,0
5956369,1,0,1,0,0,0,0,0
5956373,0,0,0,0,0,0,0,0
5956377,0,0,1,0,0,0,0,0
5956381,1,0,0,0,0,0,0,0
5956385,1,0,1,0,0,0,0,0
5956389,0,0,0,0,0,0,0,0
5956391,0,0,1,0,0,0,0,0
5956395,0,0,0,0,0,0,0,0
5956399,0,0,1,0,0,0,0,0
5956403,1,0,0,0,0,0,0,0
5956407,1,0,1,0,0,0,0,0
5956411,0,0,0,0,0,0,0,0
5956415,0,0,1,0,0,0,0,0
5956419,0,0,0,0,0,0,0,0
5956423,0,0,1,0,0,0,0,0
5956427,0,0,0,0,0,0,0,0
5956431,0,0,1,0,0,0,0,0
5956435,0,0,0,0,0,0,0,0
5956439,0,0,1,0,0,0,0,0
5956443,0,0,0,0,0,0,0,0
5956447,0,0,1,0,0,0,0,0
5956451,0,0,0,0,0,0,0,0
5956453,0,0,1,0,0,0,0,0
5956457,0,0,0,0,0,0,0,0
5956461,0,0,1,0,0,0,0,0
5956465,0,0,0,0,0,0,0,0
5956469,0,0,1,0,0,0,0,0
5956473,0,0,0,0,0,0,0,0
5956477,0,0,1,0,0,0,0,0
5956481,0,0,0,0,0,0,0,0
5956485,0,0,1,0,0,0,0,0
5956489,0,0,0,0,0,0,0,0
5956493,0,0,1,0,0,0,0,0
5956497,0,0,0,0,0,0,0,0
5956501,0,0,1,0,0,0,0,0
5956505,0,0,0,0,0,0,0,0
5956509,0,0,1,0,0,0,0,0
5956513,1,0,0,0,0,0,0,0
5956728,1,0,0,1,0,0,0,0
5956730,1,1,0,1,0,0,0,0
5956846,1,0,0,0,0,0,0,0
5957101,0,0,0,0,0,0,0,0
5957103,0,0,1,0,0,0,0,0
5957107,0,0,0,0,0,0,0,0
5957108,0,1,0,0,0,0,0,0
5957111,0,1,1,0,0,0,0,0
5957115,0,1,0,0,0,0,0,0
5957119,0,1,1,0,0,0,0,0
5957123,0,1,0,0,0,0,0,0
5957124,0,0,0,0,0,0,0,0
5957127,0,0,1,0,0,0,0,0
5957131,1,0,0,0,0,0,0,0
5957135,1,0,1,0,0,0,0,0
5957139,1,0,0,0,0,0,0,0
5957143,1,0,1,0,0,0,0,0
5957147,0,0,0,0,0,0,0,0
5957151,0,0,1,0,0,0,0,0
5957155,1,0,0,0,0,0,0,0
5957159,1,0,1,0,0,0,0,0
5957163,0,0,0,0,0,0,0,0
5957165,0,0,1,0,0,0,0,0
5957169,0,0,0,0,0,0,0,0
5957173,0,0,1,0,0,0,0,0
5957177,1,0,0,0,0,0,0,0
5957181,1,0,1,0,0,0,0,0
5957185,0,0,0,0,0,0,0,0
5957189,0,0,1,0,0,0,0,0
5957193,0,0,0,0,0,0,0,0
5957197,0,0,1,0,0,0,0,0
5957201,0,0,0,0,0,0,0,0
5957205,0,0,1,0,0,0,0,0
5957209,1,0,0,0,0,0,0,0
5957213,1,0,1,0,0,0,0,0
5957217,1,0,0,0,0,0,0,0
5957221,1,0,1,0,0,0,0,0
5957225,0,0,0,0,0,0,0,0
5957227,0,0,1,0,0,0,0,0
5957231,0,0,0,0,0,0,0,0
5957235,0,0,1,0,0,0,0,0
5957239,0,0,0,0,0,0,0,0
5957243,0,0,1,0,0,0,0,0
5957247,0,0,0,0,0,0,0,0
5957251,0,0,1,0,0,0,0,0
5957255,0,0,0,0,0,0,0,0
5957259,0,0,1,0,0,0,0,0
5957263,0,0,0,0,0,0,0,0
5957267,0,0,1,0,0,0,0,0
5957271,0,0,0,0,0,0,0,0
5957275,0,0,1,0,0,0,0,0
5957279,0,0,0,0,0,0,0,0
5957283,0,0,1,0,0,0,0,0
5957287,1,0,0,0,0,0,0,0
5957502,1,0,0,1,0,0,0,0
5957504,1,1,0,1,0,0,0,0
5958287,1,1,0,1,0,1,0,0
5958772,1,1,0,1,0,1,1,0
5958900,1,1,0,1,0,1,0,0
5958924,1,1,0,1,0,1,1,0
5958956,1,1,0,1,0,1,0,0
5958969,1,1,0,1,0,1,1,0
5958982,1,1,0,1,0,1,0,0
5959345,1,1,0,1,0,0,0,0
5960164,1,0,0,0,0,0,0,0
5960419,0,0,0,0,0,0,0,0
5960421,0,0,1,0,0,0,0,0
5960425,0,1,0,0,0,0,0,0
5960429,0,1,1,0,0,0,0,0
5960433,0,1,0,0,0,0,0,0
5960437,0,1,1,0,0,0,0,0
5960441,0,0,0,0,0,0,0,0
5960445,0,0,1,0,0,0,0,0
5960449,1,0,0,0,0,0,0,0
5960453,1,0,1,0,0,0,0,0
5960457,1,0,0,0,0,0,0,0
5960461,1,0,1,0,0,0,0,0
5960465,0,0,0,0,0,0,0,0
5960469,0,0,1,0,0,0,0,0
5960473,1,0,0,0,0,0,0,0
5960477,1,0,1,0,0,0,0,0
5960481,0,0,0,0,0,0,0,0
5960483,0,0,1,0,0,0,0,0
5960487,0,0,0,0,0,0,0,0
5960491,0,0,1,0,0,0,0,0
5960495,1,0,0,0,0,0,0,0
5960499,1,0,1,0,0,0,0,0
5960503,0,0,0,0,0,0,0,0
5960507,0,0,1,0,0,0,0,0
5960511,0,0,0,0,0,0,0,0
5960515,0,0,1,0,0,0,0,0
5960519,0,0,0,0,0,0,0,0
5960523,0,0,1,0,0,0,0,0
5960527,0,0,0,0,0,0,0,0
5960531,0,0,1,0,0,0,0,0
5960535,0,0,0,0,0,0,0,0
5960539,0,0,1,0,0,0,0,0
5960543,0,0,0,0,0,0,0,0
5960545,0,0,1,0,0,0,0,0
5960549,0,0,0,0,0,0,0,0
5960553,0,0,1,0,0,0,0,0
5960557,0,0,0,0,0,0,0,0
5960561,0,0,1,0,0,0,0,0
5960565,0,0,0,0,0,0,0,0
5960569,0,0,1,0,0,0,0,0
5960573,0,0,0,0,0,0,0,0
5960577,0,0,1,0,0,0,0,0
5960581,0,0,0,0,0,0,0,0
5960585,0,0,1,0,0,0,0,0
5960589,0,0,0,0,0,0,0,0
5960593,0,0,1,0,0,0,0,0
5960597,0,0,0,0,0,0,0,0
5960601,0,0,1,0,0,0,0,0
5960605,1,0,0,0,0,0,0,0
5960820,1,0,0,1,0,0,0,0
5960822,1,1,0,1,0,0,0,0
5960938,1,0,0,0,0,0,0,0
5961193,0,0,0,0,0,0,0,0
5961195,0,0,1,0,0,0,0,0
5961199,0,1,0,0,0,0,0,0
5961203,0,1,1,0,0,0,0,0
5961207,0,1,0,0,0,0,0,0
5961211,0,1,1,0,0,0,0,0
5961215,0,0,0,0,0,0,0,0
5961219,0,0,1,0,0,0,0,0
5961223,1,0,0,0,0,0,0,0
5961227,1,0,1,0,0,0,0,0
5961231,1,0,0,0,0,0,0,0
5961235,1,0,1,0,0,0,0,0
5961239,0,0,0,0,0,0,0,0
5961243,0,0,1,0,0,0,0,0
5961247,1,0,0,0,0,0,0,0
5961251,1,0,1,0,0,0,0,0
5961255,0,0,0,0,0,0,0,0
5961257,0,0,1,0,0,0,0,0
5961261,0,0,0,0,0,0,0,0
5961265,0,0,1,0,0,0,0,0
5961269,1,0,0,0,0,0,0,0
5961273,1,0,1,0,0,0,0,0
5961277,0,0,0,0,0,0,0,0
5961281,0,0,1,0,0,0,0,0
5961285,0,0,0,0,0,0,0,0
5961289,0,0,1,0,0,0,0,0
5961293,0,0,0,0,0,0,0,0
5961297,0,0,1,0,0,0,0,0
5961301,1,0,0,0,0,0,0,0
5961305,1,0,1,0,0,0,0,0
5961309,1,0,0,0,0,0,0,0
5961313,1,0,1,0,0,0,0,0
5961317,0,0,0,0,0,0,0,0
5961319,0,0,1,0,0,0,0,0
5961323,0,0,0,0,0,0,0,0
5961327,0,0,1,0,0,0,0,0
5961331,0,0,0,0,0,0,0,0
5961335,0,0,1,0,0,0,0,0
5961339,0,0,0,0,0,0,0,0
5961343,0,0,1,0,0,0,0,0
5961347,0,0,0,0,0,0,0,0
5961351,0,0,1,0,0,0,0,0
5961355,0,0,0,0,0,0,0,0
5961359,0,0,1,0,0,0,0,0
5961363,0,0,0,0,0,0,0,0
5961367,0,0,1,0,0,0,0,0
5961371,0,0,0,0,0,0,0,0
5961375,0,0,1,0,0,0,0,0
5961379,1,0,0,0,0,0,0,0
5961594,1,0,0,1,0,0,0,0
5961596,1,1,0,1,0,0,0,0
5961808,1,0,0,0,0,0,0,0
5962118,0,0,0,0,0,0,0,0
5962120,0,0,1,0,0,0,0,0
5962124,0,1,0,0,0,0,0,0
5962128,0,1,1,0,0,0,0,0
5962132,0,1,0,0,0,0,0,0
5962136,0,1,1,0,0,0,0,0
5962140,0,0,0,0,0,0,0,0
5962144,0,0,1,0,0,0,0,0
5962148,1,0,0,0,0,0,0,0
5962152,1,0,1,0,0,0,0,0
5962156,1,0,0,0,0,0,0,0
5962160,1,0,1,0,0,0,0,0
5962164,0,0,0,0,0,0,0,0
5962168,0,0,1,0,0,0,0,0
5962172,1,0,0,0,0,0,0,0
5962176,1,0,1,0,0,0,0,0
5962180,0,0,0,0,0,0,0,0
5962182,0,0,1,0,0,0,0,0
5962186,0,0,0,0,0,0,0,0
5962190,0,0,1,0,0,0,0,0
5962194,1,0,0,0,0,0,0,0
5962198,1,0,1,0,0,0,0,0
5962202,0,0,0,0,0,0,0,0
5962206,0,0,1,0,0,0,0,0
5962210,0,0,0,0,0,0,0,0
5962214,0,0,1,0,0,0,0,0
5962218,0,0,0,0,0,0,0,0
5962222,0,0,1,0,0,0,0,0
5962226,0,0,0,0,0,0,0,0
5962230,0,0,1,0,0,0,0,0
5962234,0,0,0,0,0,0,0,0
5962238,0,0,1,0,0,0,0,0
5962242,0,0,0,0,0,0,0,0
5962244,0,0,1,0,0,0,0,0
5962248,0,0,0,0,0,0,0,0
5962252,0,0,1,0,0,0,0,0
5962256,0,0,0,0,0,0,0,0
5962260,0,0,1,0,0,0,0,0
5962262,0,0,1,0,0,1,0,0
5962264,0,0,0,0,0,1,0,0
5962268,0,0,1,0,0,1,0,0
5962272,0,0,0,0,0,1,0,0
5962276,0,0,1,0,0,1,0,0
5962280,0,0,0,0,0,1,0,0
5962284,0,0,1,0,0,1,0,0
5962288,0,0,0,0,0,1,0,0
5962292,0,0,1,0,0,1,0,0
5962296,0,0,0,0,0,1,0,0
5962300,0,0,1,0,0,1,0,0
5962304,1,0,0,0,0,1,0,0
5962357,1,0,0,0,0,0,0,0
5962519,1,0,0,1,0,0,0,0
5962521,1,1,0,1,0,0,0,0
5962643,1,0,0,0,0,0,0,0
5962899,0,0,0,0,0,0,0,0
5962901,0,0,1,0,0,0,0,0
5962905,0,1,0,0,0,0,0,0
5962909,0,1,1,0,0,0,0,0
5962913,0,1,0,0,0,0,0,0
5962917,0,1,1,0,0,0,0,0
5962921,0,0,0,0,0,0,0,0
5962925,0,0,1,0,0,0,0,0
5962929,0,0,0,0,0,0,0,0
5962933,0,0,1,0,0,0,0,0
5962937,1,0,0,0,0,0,0,0
5962941,1,0,1,0,0,0,0,0
5962945,1,0,0,0,0,0,0,0
5962949,1,0,1,0,0,0,0,0
5962953,1,0,0,0,0,0,0,0
5962957,1,0,1,0,0,0,0,0
5962961,0,0,0,0,0,0,0,0
5962963,0,0,1,0,0,0,0,0
5962967,0,0,0,0,0,0,0,0
5962971,0,0,1,0,0,0,0,0
5962975,0,0,0,0,0,0,0,0
5962979,0,0,1,0,0,0,0,0
5962983,0,0,0,0,0,0,0,0
5962987,0,0,1,0,0,0,0,0
5962991,0,0,0,0,0,0,0,0
5962995,0,0,1,0,0,0,0,0
5962999,0,0,0,0,0,0,0,0
5963003,0,0,1,0,0,0,0,0
5963007,0,0,0,0,0,0,0,0
5963011,0,0,1,0,0,0,0,0
5963015,1,0,0,0,0,0,0,0
5963019,1,0,1,0,0,0,0,0
5963023,0,0,0,0,0,0,0,0
5963025,0,0,1,0,0,0,0,0
5963029,0,0,0,0,0,0,0,0
5963033,0,0,1,0,0,0,0,0
5963037,0,0,0,0,0,0,0,0
5963041,0,0,1,0,0,0,0,0
5963045,0,0,0,0,0,0,0,0
5963049,0,0,1,0,0,0,0,0
5963053,0,0,0,0,0,0,0,0
5963057,0,0,1,0,0,0,0,0
5963061,0,0,0,0,0,0,0,0
5963065,0,0,1,0,0,0,0,0
5963069,1,0,0,0,0,0,0,0
5963073,1,0,1,0,0,0,0,0
5963077,0,0,0,0,0,0,0,0
5963081,0,0,1,0,0,0,0,0
5963085,1,0,0,0,0,0,0,0
5963087,1,0,1,0,0,0,0,0
5963091,1,0,0,0,0,0,0,0
5963095,1,0,1,0,0,0,0,0
5963099,1,0,0,0,0,0,0,0
5963103,1,0,1,0,0,0,0,0
5963107,1,0,0,0,0,0,0,0
5963111,1,0,1,0,0,0,0,0
5963115,0,0,0,0,0,0,0,0
5963119,0,0,1,0,0,0,0,0
5963123,0,0,0,0,0,0,0,0
5963127,0,0,1,0,0,0,0,0
5963131,1,0,0,0,0,0,0,0
5963135,1,0,1,0,0,0,0,0
5963139,1,0,0,0,0,0,0,0
5963143,1,0,1,0,0,0,0,0
5963147,1,1,0,0,0,0,0,0
5963149,1,1,1,0,0,0,0,0
5963153,0,1,0,0,0,0,0,0
5963157,0,1,1,0,0,0,0,0
5963161,0,1,0,0,0,0,0,0
5963165,0,1,1,0,0,0,0,0
5963169,0,1,0,0,0,0,0,0
5963173,0,1,1,0,0,0,0,0
5963177,0,0,0,0,0,0,0,0
5963181,0,0,1,0,0,0,0,0
5963185,1,0,0,0,0,0,0,0
5963189,1,0,1,0,0,0,0,0
5963193,0,1,0,0,0,0,0,0
5963197,0,1,1,0,0,0,0,0
5963201,0,1,0,0,0,0,0,0
5963205,0,1,1,0,0,0,0,0
5963209,1,1,0,0,0,0,0,0
5963416,1,1,0,1,0,0,0,0
5963539,1,1,0,0,0,0,0,0
5963564,1,0,0,0,0,0,0,0
5963795,0,0,0,0,0,0,0,0
5963797,0,0,1,0,0,0,0,0
5963801,0,1,0,0,0,0,0,0
5963805,0,1,1,0,0,0,0,0
5963809,0,1,0,0,0,0,0,0
5963813,0,1,1,0,0,0,0,0
5963817,0,0,0,0,0,0,0,0
5963821,0,0,1,0,0,0,0,0
5963825,1,0,0,0,0,0,0,0
5963829,1,0,1,0,0,0,0,0
5963833,0,0,0,0,0,0,0,0
5963837,0,0,1,0,0,0,0,0
5963841,0,0,0,0,0,0,0,0
5963845,0,0,1,0,0,0,0,0
5963849,0,0,0,0,0,0,0,0
5963853,0,0,1,0,0,0,0,0
5963857,0,0,0,0,0,0,0,0
5963859,0,0,1,0,0,0,0,0
5963863,0,0,0,0,0,0,0,0
5963867,0,0,1,0,0,0,0,0
5963871,0,0,0,0,0,0,0,0
5963875,0,0,1,0,0,0,0,0
5963879,0,0,0,0,0,0,0,0
5963883,0,0,1,0,0,0,0,0
5963887,0,0,0,0,0,0,0,0
5963891,0,0,1,0,0,0,0,0
5963895,0,0,0,0,0,0,0,0
5963899,0,0,1,0,0,0,0,0
5963903,0,0,0,0,0,0,0,0
5963907,0,0,1,0,0,0,0,0
5963911,1,0,0,0,0,0,0,0
5963915,1,0,1,0,0,0,0,0
5963919,0,0,0,0,0,0,0,0
5963921,0,0,1,0,0,0,0,0
5963925,0,0,0,0,0,0,0,0
5963929,0,0,1,0,0,0,0,0
5963933,0,0,0,0,0,0,0,0
5963937,0,0,1,0,0,0,0,0
5963941,0,0,0,0,0,0,0,0
5963945,0,0,1,0,0,0,0,0
5963949,0,0,0,0,0,0,0,0
5963953,0,0,1,0,0,0,0,0
5963957,0,0,0,0,0,0,0,0
5963961,0,0,1,0,0,0,0,0
5963965,1,0,0,0,0,0,0,0
5963969,1,0,1,0,0,0,0,0
5963973,0,0,0,0,0,0,0,0
5963977,0,0,1,0,0,0,0,0
5963981,1,0,0,0,0,0,0,0
5963983,1,0,1,0,0,0,0,0
5963987,1,0,0,0,0,0,0,0
5963991,1,0,1,0,0,0,0,0
5963995,1,0,0,0,0,0,0,0
5963999,1,0,1,0,0,0,0,0
5964003,1,0,0,0,0,0,0,0
5964007,1,0,1,0,0,0,0,0
5964011,0,0,0,0,0,0,0,0
5964015,0,0,1,0,0,0,0,0
5964019,0,0,0,0,0,0,0,0
5964023,0,0,1,0,0,0,0,0
5964027,1,0,0,0,0,0,0,0
5964031,1,0,1,0,0,0,0,0
5964035,1,0,0,0,0,0,0,0
5964039,1,0,1,0,0,0,0,0
5964043,0,1,0,0,0,0,0,0
5964044,0,0,0,0,0,0,0,0
5964045,0,0,1,0,0,0,0,0
5964049,0,0,0,0,0,0,0,0
5964053,0,0,1,0,0,0,0,0
5964057,0,0,0,0,0,0,0,0
5964061,0,0,1,0,0,0,0,0
5964065,0,0,0,0,0,0,0,0
5964069,0,0,1,0,0,0,0,0
5964073,0,0,0,0,0,0,0,0
5964077,0,0,1,0,0,0,0,0
5964081,0,0,0,0,0,0,0,0
5964085,0,0,1,0,0,0,0,0
5964089,0,0,0,0,0,0,0,0
5964093,0,0,1,0,0,0,0,0
5964097,0,0,0,0,0,0,0,0
5964101,0,0,1,0,0,0,0,0
5964105,0,0,0,0,0,0,0,0
5964106,0,1,0,0,0,0,0,0
5964107,0,1,1,0,0,0,0,0
5964111,0,0,0,0,0,0,0,0
5964115,0,0,1,0,0,0,0,0
5964119,0,0,0,0,0,0,0,0
5964123,0,0,1,0,0,0,0,0
5964127,0,0,0,0,0,0,0,0
5964131,0,0,1,0,0,0,0,0
5964135,0,0,0,0,0,0,0,0
5964139,0,0,1,0,0,0,0,0
5964143,0,1,0,0,0,0,0,0
5964147,0,1,1,0,0,0,0,0
5964151,0,0,0,0,0,0,0,0
5964155,0,0,1,0,0,0,0,0
5964159,0,0,0,0,0,0,0,0
5964163,0,0,1,0,0,0,0,0
5964167,1,0,0,0,0,0,0,0
5964380,1,0,0,1,0,0,0,0
5964382,1,1,0,1,0,0,0,0
5964520,1,0,0,0,0,0,0,0
5964776,0,0,0,0,0,0,0,0
5964778,0,0,1,0,0,0,0,0
5964782,0,1,0,0,0,0,0,0
5964786,0,1,1,0,0,0,0,0
5964790,0,1,0,0,0,0,0,0
5964794,0,1,1,0,0,0,0,0
5964798,0,0,0,0,0,0,0,0
5964802,0,0,1,0,0,0,0,0
5964806,0,0,0,0,0,0,0,0
5964810,0,0,1,0,0,0,0,0
5964814,1,0,0,0,0,0,0,0
5964818,1,0,1,0,0,0,0,0
5964822,1,0,0,0,0,0,0,0
5964826,1,0,1,0,0,0,0,0
5964830,1,0,0,0,0,0,0,0
5964834,1,0,1,0,0,0,0,0
5964838,0,0,0,0,0,0,0,0
5964840,0,0,1,0,0,0,0,0
5964844,0,0,0,0,0,0,0,0
5964848,0,0,1,0,0,0,0,0
5964852,0,0,0,0,0,0,0,0
5964856,0,0,1,0,0,0,0,0
5964860,0,0,0,0,0,0,0,0
5964864,0,0,1,0,0,0,0,0
5964868,0,0,0,0,0,0,0,0
5964872,0,0,1,0,0,0,0,0
5964876,1,0,0,0,0,0,0,0
5964880,1,0,1,0,0,0,0,0
5964884,0,0,0,0,0,0,0,0
5964888,0,0,1,0,0,0,0,0
5964892,1,0,0,0,0,0,0,0
5964896,1,0,1,0,0,0,0,0
5964900,0,0,0,0,0,0,0,0
5964902,0,0,1,0,0,0,0,0
5964906,0,0,0,0,0,0,0,0
5964910,0,0,1,0,0,0,0,0
5964914,0,0,0,0,0,0,0,0
5964918,0,0,1,0,0,0,0,0
5964922,0,0,0,0,0,0,0,0
5964926,0,0,1,0,0,0,0,0
5964930,0,0,0,0,0,0,0,0
5964934,0,0,1,0,0,0,0,0
5964938,0,0,0,0,0,0,0,0
5964942,0,0,1,0,0,0,0,0
5964946,1,0,0,0,0,0,0,0
5964950,1,0,1,0,0,0,0,0
5964954,1,0,0,0,0,0,0,0
5964958,1,0,1,0,0,0,0,0
5964962,0,0,0,0,0,0,0,0
5964964,0,0,1,0,0,0,0,0
5964968,0,0,0,0,0,0,0,0
5964972,0,0,1,0,0,0,0,0
5964976,0,0,0,0,0,0,0,0
5964980,0,0,1,0,0,0,0,0
5964984,0,0,0,0,0,0,0,0
5964988,0,0,1,0,0,0,0,0
5964992,0,0,0,0,0,0,0,0
5964996,0,0,1,0,0,0,0,0
5965000,0,0,0,0,0,0,0,0
5965004,0,0,1,0,0,0,0,0
5965008,1,0,0,0,0,0,0,0
5965012,1,0,1,0,0,0,0,0
5965016,0,0,0,0,0,0,0,0
5965020,0,0,1,0,0,0,0,0
5965024,1,0,0,0,0,0,0,0
5965026,1,0,1,0,0,0,0,0
5965030,0,0,0,0,0,0,0,0
5965034,0,0,1,0,0,0,0,0
5965038,0,0,0,0,0,0,0,0
5965042,0,0,1,0,0,0,0,0
5965046,1,0,0,0,0,0,0,0
5965050,1,0,1,0,0,0,0,0
5965054,1,0,0,0,0,0,0,0
5965058,1,0,1,0,0,0,0,0
5965062,1,0,0,0,0,0,0,0
5965066,1,0,1,0,0,0,0,0
5965070,0,1,0,0,0,0,0,0
5965074,0,1,1,0,0,0,0,0
5965078,0,0,0,0,0,0,0,0
5965082,0,0,1,0,0,0,0,0
5965086,0,1,0,0,0,0,0,0
5965088,0,1,1,0,0,0,0,0
5965092,0,0,0,0,0,0,0,0
5965096,0,0,1,0,0,0,0,0
5965100,0,0,0,0,0,0,0,0
5965104,0,0,1,0,0,0,0,0
5965108,0,1,0,0,0,0,0,0
5965112,0,1,1,0,0,0,0,0
5965116,1,1,0,0,0,0,0,0
5965120,1,1,1,0,0,0,0,0
5965124,0,1,0,0,0,0,0,0
5965128,0,1,1,0,0,0,0,0
5965132,0,0,0,0,0,0,0,0
5965136,0,0,1,0,0,0,0,0
5965140,0,0,0,0,0,0,0,0
5965144,0,0,1,0,0,0,0,0
5965148,0,0,0,0,0,0,0,0
5965150,0,0,1,0,0,0,0,0
5965154,0,0,0,0,0,0,0,0
5965158,0,0,1,0,0,0,0,0
5965162,1,0,0,0,0,0,0,0
5965166,1,0,1,0,0,0,0,0
5965170,0,0,0,0,0,0,0,0
5965174,0,0,1,0,0,0,0,0
5965178,0,1,0,0,0,0,0,0
5965182,0,1,1,0,0,0,0,0
5965186,0,0,0,0,0,0,0,0
5965190,0,0,1,0,0,0,0,0
5965194,0,0,0,0,0,0,0,0
5965198,0,0,1,0,0,0,0,0
5965202,1,0,0,0,0,0,0,0
5965206,1,0,1,0,0,0,0,0
5965210,0,0,0,0,0,0,0,0
5965212,0,0,1,0,0,0,0,0
5965216,1,0,0,0,0,0,0,0
5965220,1,0,1,0,0,0,0,0
5965224,0,1,0,0,0,0,0,0
5965228,0,1,1,0,0,0,0,0
5965232,0,0,0,0,0,0,0,0
5965236,0,0,1,0,0,0,0,0
5965240,0,0,0,0,0,0,0,0
5965244,0,0,1,0,0,0,0,0
5965248,0,0,0,0,0,0,0,0
5965252,0,0,1,0,0,0,0,0
5965256,0,0,0,0,0,0,0,0
5965260,0,0,1,0,0,0,0,0
5965264,0,1,0,0,0,0,0,0
5965268,0,1,1,0,0,0,0,0
5965272,0,0,0,0,0,0,0,0
5965274,0,0,1,0,0,0,0,0
